"route","html-bytes","static-output","1440×900","1280×800","1024×768","768×1024","480×900","390×844","360×800"
"/app/ops/settings","8044","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/ops/verification","8022","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/ops/verification/KYB-882","8120","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/ops/violations","8055","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/access","7975","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges","16790","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-1405-021","14979","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-1405-021/contract","8181","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-1405-021/conversations","8156","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-1405-021/decision","8210","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-1405-021/deliverables","8240","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-1405-021/documents","8144","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-1405-021/edit","15067","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-1405-021/experts","8137","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-1405-021/finance","8199","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-1405-021/history","8088","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-1405-021/impact","8072","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-1405-021/overview","15019","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-1405-021/pilot","8036","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-1405-021/preview","15076","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-1405-021/proposals","8161","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-1405-021/proposals/compare","8248","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-1405-021/review","8144","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-1405-021/studio","15075","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-1405-021/submitted","15040","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-1405-021/timeline","8119","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-1405-034","14979","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-1405-034/edit","15067","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-1405-034/overview","15019","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-1405-034/preview","15076","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-1405-034/studio","15075","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-1405-034/submitted","15040","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-1405-041","14979","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-1405-041/edit","15067","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-1405-041/overview","15019","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-1405-041/preview","15076","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-1405-041/studio","15075","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-1405-041/submitted","15040","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-1405-052","14979","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-1405-052/edit","15067","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-1405-052/overview","15019","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-1405-052/preview","15076","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-1405-052/studio","15075","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-1405-052/submitted","15040","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-DRAFT-001","14984","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-DRAFT-001/edit","15072","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-DRAFT-001/overview","15024","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-DRAFT-001/preview","15081","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-DRAFT-001/studio","15080","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-DRAFT-001/submitted","15045","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-DRAFT-002","14984","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-DRAFT-002/edit","15072","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-DRAFT-002/overview","15024","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-DRAFT-002/preview","15081","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-DRAFT-002/studio","15080","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-DRAFT-002/submitted","15045","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-DRAFT-003","14984","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-DRAFT-003/edit","15072","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-DRAFT-003/overview","15024","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-DRAFT-003/preview","15081","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-DRAFT-003/studio","15080","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-DRAFT-003/submitted","15045","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-DRAFT-004","14984","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-DRAFT-004/edit","15072","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-DRAFT-004/overview","15024","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-DRAFT-004/preview","15081","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-DRAFT-004/studio","15080","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-DRAFT-004/submitted","15045","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-DRAFT-005","14984","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-DRAFT-005/edit","15072","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-DRAFT-005/overview","15024","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-DRAFT-005/preview","15081","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-DRAFT-005/studio","15080","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-DRAFT-005/submitted","15045","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-DRAFT-006","14984","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-DRAFT-006/edit","15072","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-DRAFT-006/overview","15024","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-DRAFT-006/preview","15081","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-DRAFT-006/studio","15080","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-DRAFT-006/submitted","15045","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-DRAFT-007","14984","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-DRAFT-007/edit","15072","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-DRAFT-007/overview","15024","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-DRAFT-007/preview","15081","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-DRAFT-007/studio","15080","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-DRAFT-007/submitted","15045","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-DRAFT-008","14984","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-DRAFT-008/edit","15072","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-DRAFT-008/overview","15024","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-DRAFT-008/preview","15081","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-DRAFT-008/studio","15080","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/CH-DRAFT-008/submitted","15045","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/new","19533","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/challenges/triage","8340","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/contracts-payments","8106","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/dashboard","8147","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/experts","8019","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/invitations","8005","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/notifications","8187","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/pilots","8048","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/profile","8129","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/proposals","8086","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/reports","8085","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/settings","8065","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/org/team","7982","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/reviewer/assignments","8096","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/reviewer/assignments/RV-172","8110","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/reviewer/assignments/RV-172/compare","8298","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/reviewer/assignments/RV-172/conflict","8238","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/reviewer/assignments/RV-172/materials","8182","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/reviewer/assignments/RV-172/score","8154","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/reviewer/assignments/RV-172/submit","8146","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/reviewer/assignments/RV-188","8110","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/reviewer/assignments/RV-188/compare","8298","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/reviewer/assignments/RV-188/conflict","8238","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/reviewer/assignments/RV-188/materials","8182","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/reviewer/assignments/RV-188/score","8154","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/reviewer/assignments/RV-188/submit","8146","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/reviewer/assignments/RV-204","8110","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/reviewer/assignments/RV-204/compare","8289","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/reviewer/assignments/RV-204/conflict","8178","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/reviewer/assignments/RV-204/materials","8128","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/reviewer/assignments/RV-204/score","8145","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/reviewer/assignments/RV-204/submit","8092","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/search","8055","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/solver/cases","8287","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/solver/cases/CASE-127","8363","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/solver/cases/CASE-127/contract","8382","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/solver/cases/CASE-127/messages","8381","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/solver/cases/CASE-127/payments","8389","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/solver/cases/CASE-127/pilot","8365","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/solver/cases/CASE-138","8363","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/solver/cases/CASE-138/contract","8382","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/solver/cases/CASE-138/messages","8381","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/solver/cases/CASE-138/payments","8389","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/solver/cases/CASE-138/pilot","8365","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/solver/dashboard","8151","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
"/app/solver/data-room","8115","PASS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS","PASS-CSS"
